stream,date,Fungal biomass.mg.g.afdm
WS08,2013-07-08,18.62131726
WS08,2013-07-08,25.13909007
WS09,2010-06-22,
WS09,2010-06-22,
WS09,2010-06-22,
WS09,2010-06-22,
WS09,2010-10-09,10.85224129
WS09,2010-10-09,7.106034754
WS09,2010-10-09,28.49885227
WS09,2010-10-09,17.74126921
WS09,2011-01-07,9.787493563
WS09,2011-01-07,8.819998732
WS09,2011-01-07,2.73491551
WS09,2011-01-07,10.92067361
WS09,2011-04-16,14.3665557
WS09,2011-04-16,17.05345378
WS09,2011-04-16,30.05611941
WS09,2011-04-16,14.62335719
WS09,2011-07-06,13.20818003
WS09,2011-07-06,13.74935003
WS09,2011-07-06,34.10830886
WS09,2011-07-06,26.29051792
WS09,2011-08-17,18.62637484
WS09,2011-08-17,5.342946249
WS09,2011-08-17,21.32272109
WS09,2011-08-17,16.10989053
WS09,2011-10-24,14.57279709
WS09,2011-10-24,9.972167948
WS09,2011-10-24,10.82621045
WS09,2011-10-24,8.87836462
WS09,2012-01-02,29.50335643
WS09,2012-01-02,20.82727718
WS09,2012-01-02,14.37350647
WS09,2012-01-02,28.93601895
WS09,2012-04-22,19.49205596
WS09,2012-04-22,20.4352777
WS09,2012-04-22,16.85361747
WS09,2012-04-22,18.92307407
WS09,2012-06-28,21.57912242
WS09,2012-06-28,20.60977082
WS09,2012-06-28,11.77992283
WS09,2012-06-28,11.50776706
WS09,2012-10-13,18.99745941
WS09,2012-10-13,22.17044575
WS09,2012-10-13,24.25075872
WS09,2012-10-13,17.09292818
WS09,2013-01-02,16.69204993
WS09,2013-01-02,33.84277237
WS09,2013-01-02,20.7136675
WS09,2013-01-02,19.59510536
WS09,2013-04-20,14.5095563
WS09,2013-04-20,12.93480462
WS09,2013-04-20,19.2207931
WS09,2013-04-20,14.29917874
WS09,2013-07-08,18.6653815
WS09,2013-07-08,13.49385117
WS09,2013-07-08,17.25491621
WS09,2013-07-08,19.77077705
WS10,2010-06-22,
WS10,2010-06-22,
WS10,2010-06-22,
WS10,2010-06-22,
WS10,2010-10-09,2.102609466
WS10,2010-10-09,2.432720145
WS10,2010-10-09,10.56994654
WS10,2010-10-09,3.826072717
WS10,2011-01-07,14.83706122
WS10,2011-01-07,13.14329858
WS10,2011-01-07,10.8978309
WS10,2011-01-07,12.56285553
WS10,2011-04-16,8.738476587
WS10,2011-04-16,20.7371271
WS10,2011-04-16,13.07690784
WS10,2011-04-16,15.52656248
WS10,2011-07-06,22.25552108
WS10,2011-07-06,13.07193279
WS10,2011-07-06,15.4304483
WS10,2011-07-06,12.95269033
WS10,2011-08-17,22.76201613
WS10,2011-08-17,19.47047588
WS10,2011-08-17,16.75234067
WS10,2011-08-17,20.7510842
WS10,2011-10-24,15.01900424
WS10,2011-10-24,21.61661658
WS10,2011-10-24,11.68039215
WS10,2011-10-24,10.27958265
WS10,2012-01-02,17.01620801
WS10,2012-01-02,22.29091027
WS10,2012-01-02,16.8170813
WS10,2012-01-02,14.82246526
WS10,2012-04-22,22.21952687
WS10,2012-04-22,18.90571336
WS10,2012-04-22,23.81020616
WS10,2012-04-22,23.72363561
WS10,2012-06-28,18.19718218
WS10,2012-06-28,20.66802332
WS10,2012-06-28,19.85450257
WS10,2012-06-28,29.05544437
WS10,2012-10-13,7.789850681
WS10,2012-10-13,13.41860235
WS10,2012-10-13,7.864144643
WS10,2012-10-13,15.86399664
WS10,2013-01-02,13.79019092
WS10,2013-01-02,12.97430522
WS10,2013-01-02,7.160950028
WS10,2013-01-02,21.33358696
WS10,2013-04-20,11.84009261
WS10,2013-04-20,6.825907524
WS10,2013-04-20,17.62083995
WS10,2013-04-20,15.32697824
WS10,2013-07-08,15.45434722
WS10,2013-07-08,
WS10,2013-07-08,25.16043814
WS10,2013-07-08,10.01115392
