stream,date,"Fungal biomass, mg/g AFDM"
WS09,2011-07-06,42.59
WS09,2011-07-06,51.74
WS09,2011-07-06,89.32
WS09,2011-08-17,30.21
WS09,2011-08-17,31.33
WS09,2011-08-17,73.16
WS09,2011-08-17,51.56
WS09,2011-10-24,3.2
WS09,2011-10-24,6.1
WS09,2011-10-24,10.61
WS09,2011-10-24,4.35
WS09,2012-01-02,25.29
WS09,2012-01-02,49.73
WS09,2012-01-02,86.5
WS09,2012-01-02,55.97
WS09,2012-04-22,31.01
WS09,2012-04-22,88.38
WS09,2012-04-22,60.83
WS09,2012-04-22,56.01
WS09,2012-06-28,31.02
WS09,2012-06-28,42.1
WS09,2012-06-28,22.92
WS09,2012-06-28,20.39
WS09,2012-10-13,9.1
WS09,2012-10-13,12.83
WS09,2012-10-13,17.22
WS09,2012-10-13,27.47
WS09,2013-01-02,40.3
WS09,2013-01-02,43.9
WS09,2013-01-02,64.92
WS09,2013-01-02,44.98
WS09,2013-04-20,42.59
WS09,2013-04-20,44.38
WS09,2013-04-20,44.49
WS09,2013-04-20,54.49
WS09,2013-07-08,59.68
WS09,2013-07-08,69.21
WS09,2013-07-08,58.46
WS09,2013-07-08,53.49
WS10,2010-06-22,73.94
WS10,2010-06-22,31.31
WS10,2010-06-22,22.9
WS10,2010-06-22,34.5
WS10,2010-10-09,16.14
WS10,2010-10-09,9.3
WS10,2010-10-09,20.42
WS10,2010-10-09,19.77
WS10,2011-01-07,46.37
WS10,2011-01-07,45.78
WS10,2011-01-07,38.47
WS10,2011-01-07,51.54
WS10,2011-04-16,49.41
WS10,2011-04-16,35.02
WS10,2011-04-16,56.15
WS10,2011-04-16,37.32
WS10,2011-07-06,28.56
WS10,2011-07-06,61.65
WS10,2011-07-06,121.13
WS10,2011-07-06,67.56
WS10,2011-08-17,69.65
WS10,2011-08-17,64.45
WS10,2011-08-17,23.84
WS10,2011-08-17,34.48
WS10,2011-10-24,7.22
WS10,2011-10-24,20.96
WS10,2011-10-24,17.16
WS10,2011-10-24,21.06
WS10,2012-01-02,44.58
WS10,2012-01-02,37.87
WS10,2012-01-02,55.37
WS10,2012-01-02,68.87
WS10,2012-04-22,35.51
WS10,2012-04-22,35.72
WS10,2012-04-22,25.01
WS10,2012-04-22,24.31
WS10,2012-06-28,28.14
WS10,2012-06-28,34.84
WS10,2012-06-28,29.59
WS10,2012-06-28,23.09
WS10,2012-10-13,10.6
WS10,2012-10-13,34.59
WS10,2012-10-13,44.68
WS10,2012-10-13,15.83
WS10,2013-01-02,121.03
WS10,2013-01-02,64.46
WS10,2013-01-02,39.16
WS10,2013-01-02,41.47
WS10,2013-04-20,31.99
WS10,2013-04-20,27.37
WS10,2013-04-20,26.55
WS10,2013-04-20,33.85
WS10,2013-07-08,29.59
WS10,2013-07-08,51.44
WS10,2013-07-08,46.5
WS10,2013-07-08,51
