"","date.time","RECORD","stream","Batt_V_","LoggerTemp_C_","PAR_umol_s_m2_Avg","WaterDep","Discharge_Ls_Avg","total.discharge","average.water.etmp","number.of.strokes","previous.min","previous.max"
"90",2011-07-16 12:00:00,89,"WS10",13.03,15.58,6.225,0.08575445,13.1732,11855.88,14.16,118,0.08316065,0.08702967
"186",2011-07-17 12:00:00,185,"WS10",13.84,16.82,34.37844,0.08245854,12.1282,10915.38,14.2,109,0.08220847,0.08552898
"282",2011-07-18 12:00:00,281,"WS10",13.54,18.73,34.87613,0.08395234,12.5962,11336.58,14.54,113,0.08111268,0.0857985
"378",2011-07-19 12:00:00,377,"WS10",13.63,19.83,49.76009,0.08308722,12.32401,11091.61,14.94,111,0.08145684,0.08519493
"474",2011-07-20 12:00:00,473,"WS10",13.83,20.77,48.66835,0.08351677,12.45874,11212.87,15.31,112,0.08234307,0.08540171
"570",2011-07-21 12:00:00,569,"WS10",13.6,20.65,45.30859,0.08494709,12.913,11621.7,15.58,116,0.08163998,0.1009086
"666",2011-07-22 12:00:00,665,"WS10",13.39,20.63,3.876456,0.08392296,12.58686,11328.17,15.68,113,0.08339836,0.08520605
"762",2011-07-23 12:00:00,761,"WS10",13.6,20.01,21.57196,0.08303756,12.30861,11077.75,15.7,111,0.08274873,0.08861116
"858",2011-07-24 12:00:00,857,"WS10",13.53,20.09,6.482627,0.08163822,11.87517,10687.66,15.66,107,0.08038571,0.08337191
"954",2011-07-25 12:00:00,953,"WS10",13.48,19.61,18.0493,0.08150451,11.83417,10650.75,15.55,107,0.08001987,0.08210464
"1050",2011-07-26 12:00:00,1049,"WS10",13.64,19.63,29.56419,0.0822557,12.06537,10858.83,15.42,109,0.08105539,0.08397195
"1146",2011-07-27 12:00:00,1145,"WS10",13.55,20.18,6.788962,0.07946604,11.21866,10096.79,15.58,101,0.07950439,0.08230168
"1242",2011-07-28 12:00:00,1241,"WS10",13.61,20.46,35.76723,0.07855762,10.94996,9854.96,15.7,98,0.07784222,0.07969577
"1338",2011-07-29 12:00:00,1337,"WS10",13.66,20.8,14.39309,0.07801963,10.79239,9713.15,15.72,97,0.07724039,0.07917457
"1434",2011-07-30 12:00:00,1433,"WS10",13.55,20.48,52.37821,0.07919762,11.1389,10025.01,15.85,101,0.07779633,0.09164959
"1530",2011-07-31 12:00:00,1529,"WS10",13.44,20.23,2.263326,0.07778449,10.72392,9651.53,15.82,97,0.07771727,0.07916212
"1631",2011-06-28 12:00:00,80,"WS10",13.56,19.04,75.30105,0.1109648,24.49144,22042.3,14.72,220,0.1107016,0.1124139
"1727",2011-06-29 12:00:00,176,"WS10",13.49,18.19,74.74355,0.1100208,24.04881,21643.93,14.43,216,0.1096571,0.111596
"1823",2011-06-30 12:00:00,272,"WS10",13.51,18.91,74.54301,0.1073819,22.83426,20550.84,14.5,206,0.1077274,0.1100028
"1919",2011-07-01 12:00:00,368,"WS10",13.18,19.13,49.88629,0.09985138,19.55155,17596.4,14.56,176,0.09782385,0.1076458
"2015",2011-07-02 12:00:00,464,"WS10",13.37,19.88,59.99553,0.09633458,18.11091,16299.82,14.71,163,0.0966387,0.09997067
"2111",2011-07-03 12:00:00,560,"WS10",13.49,19.92,17.14339,0.09381621,17.11515,15403.64,14.82,154,0.09375633,0.09780741
"2207",2011-07-04 12:00:00,656,"WS10",13.39,19.32,25.77185,0.09654365,18.19485,16375.37,14.89,164,0.0933461,0.1116183
"2303",2011-07-05 12:00:00,752,"WS10",13.44,18.62,7.323493,0.09672794,18.26903,16442.13,14.69,164,0.09609606,0.09878001
"2399",2011-07-06 12:00:00,848,"WS10",13.18,17.2,6.901859,0.09586146,17.92145,16129.3,14.37,162,0.09583069,0.09696925
"2495",2011-07-07 12:00:00,83,"WS10",13.23,18.44,3.217711,0.101141,20.19996,18179.97,14.54,182,0.09594609,0.1015965
"2591",2011-07-08 12:00:00,179,"WS10",13.51,18.91,35.92694,0.09506879,17.74232,15968.08,14.72,160,0.09165439,0.1018131
"2687",2011-07-09 12:00:00,275,"WS10",13.63,19.09,34.27784,0.09614389,18.16533,16348.79,14.82,164,0.09259566,0.09734839
"2783",2011-07-10 12:00:00,371,"WS10",13.47,19.43,16.83525,0.08816568,15.14999,13634.99,15.03,136,0.08725909,0.09672035
"2879",2011-07-11 12:00:00,467,"WS10",13.37,19.69,5.120805,0.08653969,14.5705,13113.45,15.15,131,0.08646696,0.08853873
"2975",2011-07-12 12:00:00,563,"WS10",13.25,18.38,13.13001,0.08579549,14.30929,12878.36,15.18,128,0.08519142,0.08734994
"3071",2011-07-13 12:00:00,659,"WS10",13.62,20.55,13.6053,0.08425003,13.77445,12397.01,15.48,124,0.08418138,0.08667691
"3167",2011-07-14 12:00:00,755,"WS10",13.36,19.28,34.80859,0.08500305,14.03369,12630.32,15.34,126,0.08393037,0.08594157
"3263",2011-07-15 12:00:00,851,"WS10",12.98,16.65,3.122149,0.08404526,13.70461,12334.15,14.77,123,0.08314471,0.08508334
"3345",2011-06-28 12:00:00,75,"WS07",14.04,20.47,22.65923,0.1687562,32.72867,29455.8,15.53,294,0.1679936,0.169851
"3441",2011-06-29 12:00:00,171,"WS07",14.06,19.57,18.78568,0.1614272,27.91356,25122.2,15.3,251,0.1611119,0.1688357
"3537",2011-06-30 12:00:00,267,"WS07",14.03,20.23,17.53994,0.1550324,24.14845,21733.6,15.35,217,0.1536133,0.1607763
"3633",2011-07-01 12:00:00,363,"WS07",13.2,19.58,11.93247,0.1510258,21.98592,19787.33,15.48,197,0.1501866,0.1554736
"3729",2011-07-02 12:00:00,459,"WS07",14.32,20.72,29.96009,0.1490321,20.96263,18866.37,15.64,189,0.1458477,0.1530988
"3825",2011-07-03 12:00:00,555,"WS07",14.27,21.18,23.39864,0.1470346,19.97285,17975.57,15.92,180,0.1449104,0.148911
"3921",2011-07-04 12:00:00,651,"WS07",13.57,20.12,19.85158,0.1470716,19.99096,17991.87,15.99,180,0.1466541,0.1687771
"4017",2011-07-05 12:00:00,747,"WS07",13.56,19.73,6.705646,0.145542,19.25551,17329.96,15.78,173,0.1441977,0.147436
"4113",2011-07-27 12:00:00,0,"WS08",14.32,20.92,235.4912,0.07619395,7.062866,1440.825,15.75,14,Inf,-Inf
"4209",2011-07-28 12:00:00,96,"WS08",14.2,20.2,10.13834,0.06794354,4.775433,4297.889,16.31,43,0.06787565,0.08313685
"4305",2011-07-29 12:00:00,192,"WS08",14.28,20.43,10.3278,0.06328904,4.007922,3607.13,15.9,36,0.06320076,0.06855638
"4401",2011-07-30 12:00:00,288,"WS08",14.35,20.77,201.897,0.05405379,2.715148,2443.633,15.91,24,0.05448608,0.070403
"4497",2011-07-31 12:00:00,384,"WS08",13.91,20.07,28.67477,0.05414897,2.72692,2454.228,15.86,24,0.05402108,0.05514052
"4611",2011-06-28 12:00:00,87,"WS08",14.37,19.39,23.81339,0.06019365,0.3740871,336.6784,15.05,3,0.05966248,0.06717318
"4707",2011-06-29 12:00:00,183,"WS08",14.38,18.24,46.53819,0.05927123,0.3495937,314.6343,14.69,4,0.05875242,0.06013282
"4803",2011-06-30 12:00:00,279,"WS08",14.38,18.64,14.13983,0.05881916,0.3380457,304.2412,14.69,3,0.05831936,0.05925661
"4899",2011-07-01 12:00:00,375,"WS08",14.07,18.8,22.66603,0.05104383,0.181505,163.3545,15.13,2,0.05119551,0.05880663
"4995",2011-07-02 12:00:00,471,"WS08",14.38,19.2,18.70499,0.04935638,0.1566354,140.9718,15.37,1,0.04837873,0.05097827
"5091",2011-07-03 12:00:00,567,"WS08",14.37,19.65,24.21015,0.04929423,0.1557662,140.1896,15.56,1,0.04885696,0.05287889
"5187",2011-07-04 12:00:00,663,"WS08",14.36,19.03,16.04667,0.052047,0.197705,177.9345,15.52,1,0.04825276,0.06608497
"5283",2011-07-05 12:00:00,759,"WS08",14.34,18.31,10.9232,0.04981926,0.1631772,146.8595,15.42,2,0.04911717,0.05409065
"5379",2011-07-06 12:00:00,855,"WS08",14.39,17.24,7.629223,0.04795188,0.1380075,124.2067,15.27,1,0.04820747,0.05034909
"5475",2011-07-07 12:00:00,93,"WS08",14.33,18.5,10.21644,0.04667218,1.854101,1668.691,15.32,17,0.04544382,0.04755086
"5571",2011-07-08 12:00:00,189,"WS08",14.34,19.12,15.03916,0.0463154,1.818241,1636.417,15.41,16,0.04522197,0.04680306
"5667",2011-07-09 12:00:00,285,"WS08",14.38,18.84,21.37181,0.05037452,2.251865,2026.679,15.35,20,0.04567379,0.05196342
"5763",2011-07-10 12:00:00,381,"WS08",14.34,19.4,11.76841,0.0604504,3.582297,3224.067,15.55,32,0.05020258,0.06170798
"5859",2011-07-11 12:00:00,477,"WS08",13.87,19.92,9.033473,0.05939832,3.425675,3083.108,15.46,30,0.05936105,0.06664261
"5955",2011-07-12 12:00:00,573,"WS08",13.66,18.87,7.486408,0.06905452,5.026957,4524.261,15.65,45,0.05930464,0.07186827
"6051",2011-07-13 12:00:00,669,"WS08",14.34,20.34,8.416529,0.07412851,6.021569,5419.412,15.77,54,0.06800651,0.07556208
"6147",2011-07-14 12:00:00,765,"WS08",13.89,19.26,8.687002,0.07583299,6.380368,5742.332,15.9,57,0.07399051,0.07725104
"6326",2011-06-28 12:00:00,83,"WS09",14.27,20.77,16.19546,0.05960804,1.550233,1395.21,16.26,14,0.05975115,0.06571603
"6422",2011-06-29 12:00:00,179,"WS09",14.32,19.5,16.96414,0.0573534,1.295194,1165.675,16.27,12,0.05738087,0.05947641
"6518",2011-06-30 12:00:00,275,"WS09",14.33,20.45,17.57625,0.05688526,1.247478,1122.73,16.37,11,0.05146473,0.0584552
"6614",2011-07-01 12:00:00,371,"WS09",14.11,20.66,6.666939,0.05811045,1.37675,1239.075,16.44,12,0.05494441,0.05910233
"6710",2011-07-02 12:00:00,467,"WS09",14.25,21.42,7.756983,0.05664577,1.222212,1099.99,16.54,11,0.0551198,0.05923114
"6806",2011-07-03 12:00:00,563,"WS09",14.24,21.72,8.590233,0.05616757,1.174808,1057.327,16.77,11,0.05374198,0.05792077
"6902",2011-07-04 12:00:00,659,"WS09",14.24,20.49,7.855712,0.05866619,1.439237,1295.313,16.79,13,0.05539306,0.07735842
"6998",2011-07-05 12:00:00,755,"WS09",14.26,19.73,4.263039,0.05788979,1.352533,1217.279,16.7,12,0.05671937,0.06074176
"7094",2011-07-06 12:00:00,851,"WS09",14.31,18.16,4.410079,0.05763913,1.325423,1192.881,16.56,12,0.0565326,0.05795841
"7148",2011-08-01 12:00:00,1625,"WS10",13.55,20.17,106.7613,0.08094322,11.66326,10496.94,15.66,105,0.08075996,0.1181819
"7244",2011-08-02 12:00:00,1721,"WS10",13.56,20.28,52.2198,0.07866735,10.9822,9883.981,15.66,99,0.07879632,0.08132527
"7340",2011-08-03 12:00:00,1817,"WS10",13.61,19.45,45.19619,0.07882045,11.02733,9924.593,15.66,99,0.07698706,0.07963692
"7437",2011-08-04 12:00:00,1914,"WS10",13.84,20.85,26.54773,0.07806056,10.80433,9723.896,15.84,97,0.07637131,0.0788719
"7533",2011-08-05 12:00:00,2010,"WS10",13.77,20.79,40.32847,0.07670794,10.41334,9372.005,15.93,94,0.07614885,0.07851274
"7629",2011-08-06 12:00:00,2106,"WS10",13.46,19.67,12.03376,0.07756625,10.66062,9594.562,15.8,96,0.07549316,0.07756712
"7725",2011-08-07 12:00:00,2202,"WS10",13.71,20.21,22.42481,0.07472141,9.85279,8867.511,15.8,89,0.07476191,0.07796044
"7821",2011-08-08 12:00:00,2298,"WS10",13.65,20.81,52.312,0.07555432,10.08583,9077.246,16.01,91,0.07393327,0.07682953
"7916",2011-08-09 12:00:00,2393,"WS10",13.65,19.97,15.41082,0.06932098,8.411127,7570.015,15.99,76,0.06970489,0.07550768
"8012",2011-08-10 12:00:00,2489,"WS10",13.71,18.96,59.07393,0.06645011,7.693376,6924.038,15.73,69,0.06663416,0.06949707
"8108",2011-08-11 12:00:00,2585,"WS10",13.72,19.77,6.705903,0.06491201,7.322664,6590.398,15.69,66,0.06491099,0.06679718
"8205",2011-08-12 12:00:00,2682,"WS10",14.21,19.08,20.03316,0.06567109,5.239507,4715.556,17.53,47,0.06373205,0.06729382
"8301",2011-08-13 12:00:00,2778,"WS10",14.3,19.61,20.65838,0.06646411,5.415323,4873.791,18.19,49,0.06528643,0.06784444
"8397",2011-08-14 12:00:00,2874,"WS10",13.79,18.56,6.645996,0.07145461,6.60815,5947.334,17.25,60,0.0656017,0.09684064
"8493",2011-08-15 12:00:00,2970,"WS10",14.31,15.98,68.51414,0.06843307,5.867936,5281.143,15.8,53,0.0676484,0.0710737
"8589",2011-08-16 12:00:00,3066,"WS10",14.08,15.8,29.23436,0.06889369,5.97716,5379.444,15.5,54,0.06810477,0.07222907
"8685",2011-08-17 12:00:00,3162,"WS10",13.86,18.04,8.277271,0.07027296,6.31196,5680.764,16.53,57,0.06810134,0.07094066
"8781",2011-08-18 12:00:00,3258,"WS10",13.78,18.32,3.18068,0.06763662,5.682045,5113.84,16.79,51,0.06749281,0.07009035
"8877",2011-08-19 12:00:00,3354,"WS10",13.91,18.34,13.73241,0.07257567,6.897133,6207.419,15.22,62,0.06734126,0.1317485
"8973",2011-08-20 12:00:00,3450,"WS10",13.97,19.33,19.01235,0.07053835,6.37778,5740.002,15.46,57,0.07015177,0.07225358
"9069",2011-08-21 12:00:00,3546,"WS10",14.3,19.67,12.8932,0.06851496,5.887349,5298.614,15.62,53,0.06844525,0.0711285
"9165",2011-08-22 12:00:00,3642,"WS10",14.08,19.86,14.16692,0.06264862,4.602901,4142.611,15.76,42,0.06286303,0.06855115
"9261",2011-08-23 12:00:00,3738,"WS10",14.38,17.02,5.884794,0.06222758,4.518348,4066.513,15.21,40,0.0609537,0.06422246
"9357",2011-08-24 12:00:00,3834,"WS10",14.37,17.29,11.21457,0.06377175,4.833462,4350.116,15.03,44,0.0613593,0.06477607
"9453",2011-08-25 12:00:00,3930,"WS10",14.34,19.02,15.96143,0.06198967,4.471196,4024.076,15.29,41,0.06156605,0.06447481
"9549",2011-08-26 12:00:00,4026,"WS10",14.3,20.2,16.63146,0.0628553,4.644771,4180.293,15.59,42,0.06125804,0.06424693
"9644",2011-08-27 12:00:00,4121,"WS10",14.29,18.86,14.28003,0.06344093,4.764826,4288.344,15.44,43,0.06237096,0.06484455
"9740",2011-08-28 12:00:00,4217,"WS10",14.2,16.99,6.736213,0.06244839,4.562535,4106.282,15.02,41,0.06013839,0.06397367
"9836",2011-08-29 12:00:00,4313,"WS10",14.27,17,11.27994,0.06454889,4.997042,4497.337,14.84,45,0.06157414,0.06565163
"9932",2011-08-30 12:00:00,4409,"WS10",14.22,17.35,9.001361,0.0630826,4.691082,4221.974,14.79,43,0.06210758,0.06500693
"10028",2011-08-31 12:00:00,4505,"WS10",14.35,18.29,15.78247,0.06410634,4.903495,4413.146,15,44,0.06216376,0.06479347
"10124",2011-09-01 12:00:00,4601,"WS10",14.34,18.77,12.30814,0.06118144,4.31257,3881.313,15.1,39,0.06128611,0.0639351
"10220",2011-09-02 12:00:00,4697,"WS10",14.22,19.72,8.380428,0.06182202,4.437804,3994.023,15.34,40,0.06002218,0.06393114
"10316",2011-09-03 12:00:00,4793,"WS10",14.22,19.36,8.787365,0.06336982,4.750019,4275.017,15.4,43,0.06099335,0.06430182
"10412",2011-09-04 12:00:00,4889,"WS10",14.33,18.87,18.01579,0.06429804,4.943848,4449.463,15.47,45,0.06232754,0.06527619
"10508",2011-09-05 12:00:00,4985,"WS10",12.93,17.24,2.093299,0.08231393,9.773488,8796.14,15.4,88,0.0636797,0.08906844
"10604",2011-09-06 12:00:00,5081,"WS10",12.95,14.77,2.945741,0.09850497,15.975,14377.5,15.42,144,0.08876257,0.1902595
"10700",2011-09-07 12:00:00,5177,"WS10",13.24,12.94,9.209501,0.09404509,14.06393,12657.54,14.13,126,0.09377035,0.1003165
"10796",2011-09-08 12:00:00,5273,"WS10",13.39,13.2,10.511,0.09003431,12.47567,11228.11,13.88,112,0.08996617,0.09394344
"10892",2011-09-09 12:00:00,5369,"WS10",13.34,13.15,5.465985,0.08868502,11.96828,10771.45,13.65,108,0.08837433,0.09048245
"10988",2011-09-10 12:00:00,5465,"WS10",13.4,13.37,6.013896,0.08631475,11.10922,9998.296,13.45,100,0.08628543,0.08910082
"11084",2011-09-11 12:00:00,5561,"WS10",13.47,14.38,8.347782,0.08449745,10.47789,9430.102,13.59,94,0.08447555,0.08659819
"11180",2011-09-12 12:00:00,5657,"WS10",13.55,15.36,6.817988,0.08020255,9.077893,8170.104,13.76,82,0.08046269,0.08516896
"11276",2011-09-13 12:00:00,5753,"WS10",13.61,15.36,8.057758,0.07768023,8.314369,7482.933,13.8,75,0.07786922,0.08050372
"11372",2011-09-14 12:00:00,5849,"WS10",13.74,16.45,6.821374,0.07619844,7.885506,7096.955,14,71,0.07581034,0.07841172
"11468",2011-09-15 12:00:00,5945,"WS10",13.94,16.64,16.11377,0.07670082,8.029307,7226.376,14.17,72,0.07515681,0.07733423
"11564",2011-09-16 12:00:00,6041,"WS10",13.66,12.37,17.12471,0.07726832,8.193702,7374.332,13.35,74,0.07522954,0.07814217
"11660",2011-09-17 12:00:00,6137,"WS10",14.03,12.57,17.40629,0.07894744,8.692611,7823.35,13.06,78,0.07737486,0.07940094
"11756",2011-09-18 12:00:00,6233,"WS10",13.76,13.35,5.619659,0.07790746,8.381381,7543.243,13.12,76,0.07745878,0.07967178
"11852",2011-09-19 12:00:00,6329,"WS10",13.86,11.33,9.02343,0.07792664,8.387179,7548.461,12.71,75,0.07627198,0.07857088
"11948",2011-09-20 12:00:00,6425,"WS10",13.13,13.82,6.716612,0.08081465,9.269631,8342.668,13.05,84,0.07726337,0.08054264
"12044",2011-09-21 12:00:00,6521,"WS10",13.41,15.96,5.959661,0.09189506,13.19744,11877.7,13.6,119,0.0801912,0.1091923
"12140",2011-09-22 12:00:00,6617,"WS10",13.12,15.98,9.469188,0.08477466,10.57271,9515.441,13.8,96,0.08467303,0.09574336
"12236",2011-09-23 12:00:00,6713,"WS10",13.5,15.75,15.51704,0.09906074,16.22391,14601.52,14.19,146,0.08439346,0.126921
"12332",2011-09-24 12:00:00,6809,"WS10",13.5,14.81,5.006868,0.09037712,12.60674,11346.07,13.86,114,0.09043329,0.0983988
"12428",2011-09-25 12:00:00,6905,"WS10",13.56,15.4,12.31359,0.08868589,11.96864,10771.77,13.8,108,0.08884542,0.09021683
"12524",2011-09-26 12:00:00,7001,"WS10",13.48,16.78,17.02873,0.09594338,14.85937,13373.43,14.31,134,0.08822539,0.09958634
"12620",2011-09-27 12:00:00,7097,"WS10",13.35,15.16,6.569626,0.0924394,13.41356,12072.2,14.1,121,0.09238536,0.09576064
"12716",2011-09-28 12:00:00,7193,"WS10",13.41,13.93,6.574242,0.09203085,13.25112,11926,13.59,119,0.09176087,0.09249559
"12812",2011-09-29 12:00:00,7289,"WS10",13.49,14.44,14.13119,0.09249377,13.43518,12091.66,13.48,121,0.09112759,0.09249135
"12908",2011-09-30 12:00:00,7385,"WS10",13.5,13.57,4.902684,0.09289507,13.59609,12236.48,13.26,122,0.09076636,0.09313961
"13004",2011-10-01 12:00:00,7481,"WS10",13.47,6.427,5.324567,0.09343492,13.81446,12433.02,11.18,124,0.09169906,0.09373921
"13100",2011-10-02 12:00:00,7577,"WS10",13.43,5.889,5.091088,0.09397327,14.0344,12630.96,10.22,126,0.09311428,0.09411066
"13196",2011-10-03 12:00:00,7673,"WS10",13.41,7.497,5.079026,0.09380869,13.96689,12570.2,10.23,126,0.09324574,0.09418163
"13292",2011-10-04 12:00:00,7769,"WS10",13.38,10.23,4.978459,0.09277482,13.54775,12192.98,10.83,122,0.09226684,0.09333265
"13388",2011-10-05 12:00:00,7865,"WS10",13.37,12.44,5.220421,0.09183025,13.17186,11854.67,11.51,118,0.09131996,0.09270833
"13484",2011-10-06 12:00:00,7961,"WS10",13.36,13.14,5.764079,0.09203554,13.25296,11927.66,11.95,120,0.0908929,0.09301885
"13579",2011-10-13 12:00:00,87,"WS10",13.09,13.12,9.18198,0.1020855,13.59045,12231.4,12.32,123,0.09536754,0.1011189
"13675",2011-10-14 12:00:00,183,"WS10",13.25,9.92,7.862858,0.09791936,12.21993,10997.93,11.8,110,0.09793593,0.1127063
"13771",2011-10-15 12:00:00,279,"WS10",13.29,10.03,8.683474,0.09837376,12.36501,11128.5,11.45,112,0.09688336,0.0986672
"13867",2011-10-16 12:00:00,375,"WS10",13.3,12.59,8.783478,0.09790336,12.21486,10993.37,11.25,110,0.09747376,0.09846705
"13963",2011-10-17 12:00:00,471,"WS10",13.32,14.5,10.451,0.09837203,12.36452,11128.07,11.61,111,0.09687739,0.09909844
"14059",2011-10-18 12:00:00,567,"WS10",13.36,13.94,10.57737,0.09535291,11.41967,10277.71,11.9,103,0.09396423,0.09874227
"14155",2011-10-19 12:00:00,663,"WS10",12.9,12.37,12.35588,0.1390242,29.87508,26887.57,12.1,269,0.09485818,0.1458775
"14251",2011-10-20 12:00:00,759,"WS10",13.37,2.373,35.53008,0.1070249,15.33007,13797.07,10.01,138,0.1067431,0.1342349
"14347",2011-10-21 12:00:00,855,"WS10",13.21,3.213,11.81111,0.1056186,14.82159,13339.43,9.38,134,0.1049123,0.1070168
"14443",2011-10-22 12:00:00,951,"WS10",13.21,5.04,11.20127,0.1071908,15.39067,13851.6,9.03,139,0.1052686,0.1073734
"14539",2011-10-23 12:00:00,1047,"WS10",13.28,7.31,11.38436,0.1047078,14.49777,13047.99,9.55,131,0.1038443,0.1076108
"14635",2011-10-24 12:00:00,1143,"WS10",13.29,8.99,11.02201,0.1049858,14.59613,13136.52,10.01,131,0.1043185,0.1053214
"14731",2011-10-25 12:00:00,1239,"WS10",13.27,9.88,10.75386,0.1043781,14.38167,12943.51,10.25,129,0.1042246,0.1052963
"14827",2011-10-26 12:00:00,1335,"WS10",13.32,11.12,16.89582,0.1047062,14.49725,13047.52,10.49,131,0.1040155,0.1049246
"14923",2011-10-27 12:00:00,1431,"WS10",13.36,12.25,30.7767,0.10588,14.91531,13423.78,10.76,134,0.1046496,0.1066723
"15019",2011-10-28 12:00:00,1527,"WS10",12.91,9.83,5.501706,0.1130189,17.61547,15853.92,10.86,158,0.1052931,0.1128491
"15115",2011-10-29 12:00:00,1623,"WS10",13.07,2.917,12.12279,0.1107564,16.73014,15057.13,9.29,150,0.1098196,0.1215066
"15211",2011-10-30 12:00:00,1719,"WS10",13.1,2.988,15.73119,0.1105964,16.66849,15001.64,8.43,150,0.1103481,0.1112908
"15307",2011-10-31 12:00:00,1815,"WS10",13.44,4.454,33.13437,0.1100035,16.44156,14797.41,8.36,147,0.1098613,0.1106057
"15403",2011-11-01 12:00:00,1911,"WS10",13.23,4.914,13.18893,0.1062942,15.0645,13558.05,8.33,136,0.1060464,0.1103839
"15499",2011-11-02 12:00:00,2007,"WS10",13.18,5.995,12.75821,0.1072256,15.40342,13863.08,8.57,138,0.1059796,0.1074536
"15595",2011-11-03 12:00:00,2103,"WS10",13.14,6.205,27.99716,0.1081655,15.75009,14175.08,8.62,142,0.1071949,0.1082566
"15691",2011-11-04 12:00:00,2199,"WS10",13.14,5.38,28.09878,0.1149339,18.38666,16548,8.67,166,0.1081341,0.1693134
"15787",2011-11-05 12:00:00,2295,"WS10",13.09,4.395,13.29837,0.1132268,17.69818,15928.37,8.32,160,0.1131833,0.1149907
"15883",2011-11-06 12:00:00,2391,"WS10",13.52,6.421,32.64088,0.1132814,17.71996,15947.96,8.49,160,0.1130697,0.1135905
"15979",2011-11-07 12:00:00,2487,"WS10",13.1,6.656,11.93982,0.1135205,17.81548,16033.93,8.71,161,0.1129312,0.1145607
"16075",2011-11-08 12:00:00,2583,"WS10",13.09,7.132,14.75093,0.113955,17.98989,16190.9,8.91,162,0.1136651,0.1144531
"16171",2011-11-09 12:00:00,2679,"WS10",13.43,9.12,50.91961,0.113038,17.62306,15860.75,9.4,159,0.1131862,0.1141809
"16267",2011-11-10 12:00:00,2775,"WS10",13.21,7.102,49.66933,0.1130889,17.64329,15878.96,9.47,159,0.1127685,0.1146466
"16363",2011-11-11 12:00:00,2871,"WS10",13.07,0.166,13.92626,0.1129996,17.60776,15846.98,7.137,159,0.1126876,0.1136677
"16459",2011-11-12 12:00:00,2967,"WS10",13.09,2.707,14.37515,0.1126615,17.4737,15726.33,7.341,157,0.1126705,0.1136609
"16555",2011-11-13 12:00:00,3063,"WS10",13.46,5.641,48.68476,0.1128303,17.54054,15786.49,7.781,157,0.112626,0.1131273
"16651",2011-11-14 12:00:00,3159,"WS10",13.12,10.69,28.44633,0.1129657,17.5943,15834.87,9.15,158,0.112631,0.1132148
"16747",2011-11-15 12:00:00,3255,"WS10",13.06,12.86,26.95145,0.1127377,17.50387,15753.48,10.14,158,0.1127269,0.1141047
"16843",2011-11-16 12:00:00,3351,"WS10",13.22,13.61,31.23009,0.1571033,40.79875,36718.88,10.94,0,0.1127445,0.1779023
"16939",2011-11-17 12:00:00,3447,"WS10",13.07,6.445,21.19764,0.137543,29.06601,26159.41,9.89,262,0.1360591,0.1573635
"17035",2011-11-18 12:00:00,3543,"WS10",12.9,0.103,13.13808,0.1334422,26.90685,24216.16,7.237,242,0.1334153,0.1374534
"17131",2011-11-19 12:00:00,3639,"WS10",12.84,4.373,25.62703,0.1353649,27.90655,25115.9,7.693,252,0.1335423,0.1354431
"17227",2011-11-20 12:00:00,3735,"WS10",12.81,10.78,18.21733,0.1367638,28.64791,25783.12,9.26,258,0.1353888,0.1374464
"17323",2011-11-21 12:00:00,3831,"WS10",13.11,12.94,48.62189,0.1361629,28.328,25495.2,10.09,255,0.1357253,0.1390745
"17419",2011-11-22 12:00:00,3927,"WS10",12.77,12.81,17.16151,0.1351807,27.81012,25029.11,10.68,251,0.1343533,0.1365075
"17515",2011-11-23 12:00:00,4023,"WS10",13.19,8.7,36.57944,0.1712296,50.81673,45735.06,10.23,0,0.1349436,0.2206649
"17611",2011-11-24 12:00:00,4119,"WS10",13.26,4.483,12.85064,0.1659551,46.91923,42227.3,8.58,0,0.1663059,0.1709917
"17707",2011-11-25 12:00:00,4215,"WS10",13.26,5.596,12.96315,0.1671766,47.80495,43024.45,8.48,0,0.1656933,0.1671791
"17803",2011-11-26 12:00:00,4311,"WS10",13.27,8.91,30.81042,0.1675274,48.06127,43255.14,9.06,0,0.1668722,0.1675716
"17899",2011-11-27 12:00:00,4407,"WS10",13.1,9.86,11.91006,0.1682614,48.6003,43740.27,9.68,0,0.1670105,0.1679241
"17995",2011-11-28 12:00:00,4503,"WS10",13.04,11.13,5.269073,0.3128899,236.4291,212786.2,10.36,0,0.1668976,0.3224694
"18091",2011-11-29 12:00:00,4599,"WS10",13.09,1.075,35.3668,0.1696616,49.6386,44674.74,8.01,0,0.1700614,0.3281622
"18187",2011-11-30 12:00:00,4695,"WS10",12.8,0.76,7.10909,0.1429186,32.05132,28846.19,7.707,289,0.1429536,0.1690305
"18283",2011-12-01 12:00:00,4791,"WS10",12.66,0.991,13.67393,0.1354011,27.92563,25133.07,7.916,251,0.135369,0.1440367
"18379",2011-12-02 12:00:00,4887,"WS10",12.8,2.165,14.23218,0.1279451,24.1699,21752.91,8.01,217,0.1277275,0.1354754
"18475",2011-12-03 12:00:00,4983,"WS10",12.83,4.355,13.2191,0.1223345,21.55817,19402.35,8.32,194,0.1221786,0.1281509
"18571",2011-12-04 12:00:00,5079,"WS10",13.07,6.068,48.0787,0.1050343,14.61412,13152.71,8.7,131,0.1090613,0.1221595
"18667",2011-12-05 12:00:00,5175,"WS10",12.72,8.8,5.95967,0.1003111,12.99599,11696.39,9.57,117,0.1004457,0.1081572
