date,stream,SRP (µg/L),NO3-N (µg/L),NH4-N (µg/L),DIN (µg/L)
2012-11-08,WS08,6,5,5,10
2012-11-20,WS08,6,12,1,13
2012-12-03,WS08,12,16,2,18
2012-12-19,WS08,4,41,4,45
2013-01-04,WS08,2,28,32,60
2013-01-18,WS08,5,88,30,119
2013-01-31,WS08,2,36,4,40
2013-02-11,WS08,3,49,0,49
2013-02-26,WS08,2,86,0,86
2013-03-12,WS08,3,63,22,85
2013-03-28,WS08,2,11,2,13
2013-04-10,WS08,3,25,1,26
2013-04-25,WS08,,59,16,75
2013-05-10,WS08,,37,19,56
2013-05-24,WS08,3,42,11,52
2013-06-07,WS08,1,21,8,29
2013-06-24,WS08,4,80,39,119
2013-07-08,WS08,3,36,6,42
2013-07-22,WS08,7,14,1,15
2011-07-12,WS09,6,55,22,77
2011-07-15,WS09,10,,,
2011-07-18,WS09,,,,
2011-07-25,WS09,16,,,
2011-08-03,WS09,8,61,48,109
2011-08-22,WS09,2,35,9,44
2011-08-29,WS09,5,24,16,40
2011-09-06,WS09,2,40,13,53
2011-09-12,WS09,12,15,10,25
2011-09-21,WS09,2,18,9,27
2011-09-26,WS09,2,10,8,18
2011-10-10,WS09,2,80,0,80
2011-10-24,WS09,2,27,0,27
2011-11-06,WS09,2,12,4,16
2011-11-21,WS09,2,7,27,34
2011-12-04,WS09,11,83,6,89
2011-12-18,WS09,12,,,
2011-12-30,WS09,14,10,109,119
2012-01-23,WS09,2,8,84,92
2012-02-06,WS09,4,7,2,9
2012-02-29,WS09,3,,,
2012-03-12,WS09,2,18,63,81
2012-03-26,WS09,,,,
2012-04-09,WS09,2,19,,
2012-04-21,WS09,3,25,36,61
2012-05-07,WS09,6,7,11,18
2012-05-17,WS09,5,24,1,25
2012-05-31,WS09,4,22,40,62
2012-06-15,WS09,11,6,9,15
2012-07-01,WS09,11,13,2,15
2012-07-15,WS09,,43,0,44
2012-08-14,WS09,9,8,15,23
2012-08-27,WS09,2,10,0,10
2012-09-06,WS09,3,11,118,128
2012-09-19,WS09,6,31,0,31
2012-10-12,WS09,3,4,0,4
2012-10-22,WS09,7,5,2,8
2012-11-08,WS09,8,5,1,6
2012-11-20,WS09,7,1,1,3
2012-12-03,WS09,5,3,1,4
2012-12-19,WS09,6,6,2,8
2013-01-04,WS09,3,4,7,11
2013-01-18,WS09,4,17,117,134
2013-01-31,WS09,,93,50,142
2013-02-11,WS09,1,36,0,36
2013-02-26,WS09,3,12,0,12
2013-03-12,WS09,2,12,14,26
2013-03-28,WS09,5,17,7,24
2013-04-10,WS09,4,8,2,9
2013-04-25,WS09,,8,0,8
2013-05-10,WS09,2,19,24,43
2013-05-24,WS09,,79,11,90
2013-06-07,WS09,8,14,38,52
2013-06-24,WS09,2,19,27,46
2013-07-08,WS09,6,18,3,21
2013-07-22,WS09,1,6,9,15
2011-07-12,WS10,14,83,2,85
2011-07-15,WS10,15,263,75,338
2011-07-18,WS10,32,,,
2011-07-25,WS10,15,0,103,103
2011-08-03,WS10,,146,275,421
2011-08-22,WS10,2,44,6,50
2011-08-29,WS10,4,39,44,83
2011-09-06,WS10,2,93,186,279
2011-09-12,WS10,12,48,17,65
2011-09-21,WS10,2,37,1,38
2011-09-26,WS10,2,134,54,188
2011-10-10,WS10,2,50,16,66
2011-10-24,WS10,2,11,0,11
2011-11-06,WS10,2,24,23,47
2011-11-21,WS10,3,144,124,268
2011-12-04,WS10,22,,,
2011-12-18,WS10,17,51,0,51
2011-12-30,WS10,31,,,
2012-01-23,WS10,2,121,30,151
2012-02-06,WS10,2,177,4,181
2012-02-29,WS10,4,,,
2012-03-12,WS10,2,94,112,206
2012-03-26,WS10,4,,,
2012-04-09,WS10,6,72,,72
2012-04-21,WS10,24,91,24,115
2012-05-07,WS10,6,86,11,97
2012-05-17,WS10,8,172,64,236
